question,answer
dar: 1ª persona singular (yo) presente indicativo,doy
dar: 2ª persona singular (tú) presente indicativo,das
dar: 3ª persona singular (él/ella/usted) presente indicativo,da
dar: 1ª persona plural (nosotros) presente indicativo,damos
dar: 2ª persona plural (vosotros) presente indicativo,dais
dar: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,dan
dar: 1ª persona singular (yo) imperfecto indicativo,daba
dar: 2ª persona singular (tú) imperfecto indicativo,dabas
dar: 3ª persona singular (él/ella/usted) imperfecto indicativo,daba
dar: 1ª persona plural (nosotros) imperfecto indicativo,dábamos
dar: 2ª persona plural (vosotros) imperfecto indicativo,dabais
dar: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,daban
dar: 1ª persona singular (yo) pretérito indicativo,di
dar: 2ª persona singular (tú) pretérito indicativo,diste
dar: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,dio
dar: 1ª persona plural (nosotros) pretérito indicativo,dimos
dar: 2ª persona plural (vosotros) pretérito indicativo,disteis
dar: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,dieron
dar: 1ª persona singular (yo) condicional indicativo,daría
dar: 2ª persona singular (tú) condicional indicativo,darías
dar: 3ª persona singular (él/ella/usted) condicional indicativo,daría
dar: 1ª persona plural (nosotros) condicional indicativo,daríamos
dar: 2ª persona plural (vosotros) condicional indicativo,daríais
dar: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,darían
dar: 1ª persona singular (yo) presente subjuntivo,dé
dar: 2ª persona singular (tú) presente subjuntivo,des
dar: 3ª persona singular (él/ella/usted) presente subjuntivo,dé
dar: 1ª persona plural (nosotros) presente subjuntivo,demos
dar: 2ª persona plural (vosotros) presente subjuntivo,deis
dar: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,den
