question,answer
amar: 1ª persona singular (yo) presente indicativo,amo
amar: 2ª persona singular (tú) presente indicativo,amas
amar: 3ª persona singular (él/ella/usted) presente indicativo,ama
amar: 1ª persona plural (nosotros) presente indicativo,amamos
amar: 2ª persona plural (vosotros) presente indicativo,amáis
amar: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,aman
amar: 1ª persona singular (yo) imperfecto indicativo,amaba
amar: 2ª persona singular (tú) imperfecto indicativo,amabas
amar: 3ª persona singular (él/ella/usted) imperfecto indicativo,amaba
amar: 1ª persona plural (nosotros) imperfecto indicativo,amábamos
amar: 2ª persona plural (vosotros) imperfecto indicativo,amabais
amar: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,amaban
amar: 1ª persona singular (yo) pretérito indicativo,amé
amar: 2ª persona singular (tú) pretérito indicativo,amaste
amar: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,amó
amar: 1ª persona plural (nosotros) pretérito indicativo,amamos
amar: 2ª persona plural (vosotros) pretérito indicativo,amasteis
amar: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,amaron
amar: 1ª persona singular (yo) condicional indicativo,amaría
amar: 2ª persona singular (tú) condicional indicativo,amarías
amar: 3ª persona singular (él/ella/usted) condicional indicativo,amaría
amar: 1ª persona plural (nosotros) condicional indicativo,amaríamos
amar: 2ª persona plural (vosotros) condicional indicativo,amaríais
amar: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,amarían
amar: 1ª persona singular (yo) presente subjuntivo,ame
amar: 2ª persona singular (tú) presente subjuntivo,ames
amar: 3ª persona singular (él/ella/usted) presente subjuntivo,ame
amar: 1ª persona plural (nosotros) presente subjuntivo,amemos
amar: 2ª persona plural (vosotros) presente subjuntivo,améis
amar: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,amen
