question,answer
estar: 1ª persona singular (yo) presente indicativo,estoy
estar: 2ª persona singular (tú) presente indicativo,estás
estar: 3ª persona singular (él/ella/usted) presente indicativo,está
estar: 1ª persona plural (nosotros) presente indicativo,estamos
estar: 2ª persona plural (vosotros) presente indicativo,estáis
estar: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,están
estar: 1ª persona singular (yo) imperfecto indicativo,estaba
estar: 2ª persona singular (tú) imperfecto indicativo,estabas
estar: 3ª persona singular (él/ella/usted) imperfecto indicativo,estaba
estar: 1ª persona plural (nosotros) imperfecto indicativo,estábamos
estar: 2ª persona plural (vosotros) imperfecto indicativo,estabais
estar: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,estaban
estar: 1ª persona singular (yo) pretérito indicativo,estuve
estar: 2ª persona singular (tú) pretérito indicativo,estuviste
estar: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,estuvo
estar: 1ª persona plural (nosotros) pretérito indicativo,estuvimos
estar: 2ª persona plural (vosotros) pretérito indicativo,estuvisteis
estar: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,estuvieron
estar: 1ª persona singular (yo) condicional indicativo,estaría
estar: 2ª persona singular (tú) condicional indicativo,estarías
estar: 3ª persona singular (él/ella/usted) condicional indicativo,estaría
estar: 1ª persona plural (nosotros) condicional indicativo,estaríamos
estar: 2ª persona plural (vosotros) condicional indicativo,estaríais
estar: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,estarían
estar: 1ª persona singular (yo) presente subjuntivo,esté
estar: 2ª persona singular (tú) presente subjuntivo,estés
estar: 3ª persona singular (él/ella/usted) presente subjuntivo,esté
estar: 1ª persona plural (nosotros) presente subjuntivo,estemos
estar: 2ª persona plural (vosotros) presente subjuntivo,estéis
estar: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,estén
