question,answer
hacer: 1ª persona singular (yo) presente indicativo,hago
hacer: 2ª persona singular (tú) presente indicativo,haces
hacer: 3ª persona singular (él/ella/usted) presente indicativo,hace
hacer: 1ª persona plural (nosotros) presente indicativo,hacemos
hacer: 2ª persona plural (vosotros) presente indicativo,hacéis
hacer: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,hacen
hacer: 1ª persona singular (yo) imperfecto indicativo,hacía
hacer: 2ª persona singular (tú) imperfecto indicativo,hacías
hacer: 3ª persona singular (él/ella/usted) imperfecto indicativo,hacía
hacer: 1ª persona plural (nosotros) imperfecto indicativo,hacíamos
hacer: 2ª persona plural (vosotros) imperfecto indicativo,hacíais
hacer: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,hacían
hacer: 1ª persona singular (yo) pretérito indicativo,hice
hacer: 2ª persona singular (tú) pretérito indicativo,hiciste
hacer: 3ª persona singular (él/ella/usted) pretérito indicativo,hizo
hacer: 1ª persona plural (nosotros) pretérito indicativo,hicimos
hacer: 2ª persona plural (vosotros) pretérito indicativo,hicisteis
hacer: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,hicieron
hacer: 1ª persona singular (yo) condicional indicativo,haría
hacer: 2ª persona singular (tú) condicional indicativo,harías
hacer: 3ª persona singular (él/ella/usted) condicional indicativo,haría
hacer: 1ª persona plural (nosotros) condicional indicativo,haríamos
hacer: 2ª persona plural (vosotros) condicional indicativo,haríais
hacer: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,harían
hacer: 1ª persona singular (yo) presente subjuntivo,haga
hacer: 2ª persona singular (tú) presente subjuntivo,hagas
hacer: 3ª persona singular (él/ella/usted) presente subjuntivo,haga
hacer: 1ª persona plural (nosotros) presente subjuntivo,hagamos
hacer: 2ª persona plural (vosotros) presente subjuntivo,hagáis
hacer: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,hagan
