question,answer
ir: 1ª persona singular (yo) presente indicativo,voy
ir: 2ª persona singular (tú) presente indicativo,vas
ir: 3ª persona singular (él/ella/usted) presente indicativo,va
ir: 1ª persona plural (nosotros) presente indicativo,vamos
ir: 2ª persona plural (vosotros) presente indicativo,vais
ir: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,van
ir: 1ª persona singular (yo) imperfecto indicativo,iba
ir: 2ª persona singular (tú) imperfecto indicativo,ibas
ir: 3ª persona singular (él/ella/usted) imperfecto indicativo,iba
ir: 1ª persona plural (nosotros) imperfecto indicativo,íbamos
ir: 2ª persona plural (vosotros) imperfecto indicativo,ibais
ir: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,iban
ir: 1ª persona singular (yo) pretérito indicativo,fui
ir: 2ª persona singular (tú) pretérito indicativo,fuiste
ir: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,fue
ir: 1ª persona plural (nosotros) pretérito indicativo,fuimos
ir: 2ª persona plural (vosotros) pretérito indicativo,fuisteis
ir: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,fueron
ir: 1ª persona singular (yo) condicional indicativo,iría
ir: 2ª persona singular (tú) condicional indicativo,irías
ir: 3ª persona singular (él/ella/usted) condicional indicativo,iría
ir: 1ª persona plural (nosotros) condicional indicativo,iríamos
ir: 2ª persona plural (vosotros) condicional indicativo,iríais
ir: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,irían
ir: 1ª persona singular (yo) presente subjuntivo,vaya
ir: 2ª persona singular (tú) presente subjuntivo,vayas
ir: 3ª persona singular (él/ella/usted) presente subjuntivo,vaya
ir: 1ª persona plural (nosotros) presente subjuntivo,vayamos
ir: 2ª persona plural (vosotros) presente subjuntivo,vayáis
ir: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,vayan
