question,answer
partir: 1ª persona singular (yo) presente indicativo,parto
partir: 2ª persona singular (tú) presente indicativo,partes
partir: 3ª persona singular (él/ella/usted) presente indicativo,parte
partir: 1ª persona plural (nosotros) presente indicativo,partimos
partir: 2ª persona plural (vosotros) presente indicativo,partís
partir: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,parten
partir: 1ª persona singular (yo) imperfecto indicativo,partía
partir: 2ª persona singular (tú) imperfecto indicativo,partías
partir: 3ª persona singular (él/ella/usted) imperfecto indicativo,partía
partir: 1ª persona plural (nosotros) imperfecto indicativo,partíamos
partir: 2ª persona plural (vosotros) imperfecto indicativo,partíais
partir: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,partían
partir: 1ª persona singular (yo) pretérito indicativo,partí
partir: 2ª persona singular (tú) pretérito indicativo,partiste
partir: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,partió
partir: 1ª persona plural (nosotros) pretérito indicativo,partimos
partir: 2ª persona plural (vosotros) pretérito indicativo,partisteis
partir: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,partieron
partir: 1ª persona singular (yo) condicional indicativo,partiría
partir: 2ª persona singular (tú) condicional indicativo,partirías
partir: 3ª persona singular (él/ella/usted) condicional indicativo,partiría
partir: 1ª persona plural (nosotros) condicional indicativo,partiríamos
partir: 2ª persona plural (vosotros) condicional indicativo,partiríais
partir: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,partirían
partir: 1ª persona singular (yo) presente subjuntivo,parta
partir: 2ª persona singular (tú) presente subjuntivo,partas
partir: 3ª persona singular (él/ella/usted) presente subjuntivo,parta
partir: 1ª persona plural (nosotros) presente subjuntivo,partamos
partir: 2ª persona plural (vosotros) presente subjuntivo,partáis
partir: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,partan
