question,answer
ser: 1ª persona singular (yo) presente indicativo,soy
ser: 2ª persona singular (tú) presente indicativo,eres
ser: 3ª persona singular (él/ella/usted) presente indicativo,es
ser: 1ª persona plural (nosotros) presente indicativo,somos
ser: 2ª persona plural (vosotros) presente indicativo,sois
ser: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,son
ser: 1ª persona singular (yo) imperfecto indicativo,era
ser: 2ª persona singular (tú) imperfecto indicativo,eras
ser: 3ª persona singular (él/ella/usted) imperfecto indicativo,era
ser: 1ª persona plural (nosotros) imperfecto indicativo,éramos
ser: 2ª persona plural (vosotros) imperfecto indicativo,erais
ser: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,eran
ser: 1ª persona singular (yo) pretérito indicativo,fui
ser: 2ª persona singular (tú) pretérito indicativo,fuiste
ser: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,fue
ser: 1ª persona plural (nosotros) pretérito indicativo,fuimos
ser: 2ª persona plural (vosotros) pretérito indicativo,fuisteis
ser: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,fueron
ser: 1ª persona singular (yo) condicional indicativo,sería
ser: 2ª persona singular (tú) condicional indicativo,serías
ser: 3ª persona singular (él/ella/usted) condicional indicativo,sería
ser: 1ª persona plural (nosotros) condicional indicativo,seríamos
ser: 2ª persona plural (vosotros) condicional indicativo,seríais
ser: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,serían
ser: 1ª persona singular (yo) presente subjuntivo,sea
ser: 2ª persona singular (tú) presente subjuntivo,seas
ser: 3ª persona singular (él/ella/usted) presente subjuntivo,sea
ser: 1ª persona plural (nosotros) presente subjuntivo,seamos
ser: 2ª persona plural (vosotros) presente subjuntivo,seáis
ser: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,sean
