question,answer
temer: 1ª persona singular (yo) presente indicativo,temo
temer: 2ª persona singular (tú) presente indicativo,temes
temer: 3ª persona singular (él/ella/usted) presente indicativo,teme
temer: 1ª persona plural (nosotros) presente indicativo,tememos
temer: 2ª persona plural (vosotros) presente indicativo,teméis
temer: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,temen
temer: 1ª persona singular (yo) imperfecto indicativo,temía
temer: 2ª persona singular (tú) imperfecto indicativo,temías
temer: 3ª persona singular (él/ella/usted) imperfecto indicativo,temía
temer: 1ª persona plural (nosotros) imperfecto indicativo,temíamos
temer: 2ª persona plural (vosotros) imperfecto indicativo,temíais
temer: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,temían
temer: 1ª persona singular (yo) pretérito indicativo,temí
temer: 2ª persona singular (tú) pretérito indicativo,temiste
temer: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,temió
temer: 1ª persona plural (nosotros) pretérito indicativo,temimos
temer: 2ª persona plural (vosotros) pretérito indicativo,temisteis
temer: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,temieron
temer: 1ª persona singular (yo) condicional indicativo,temería
temer: 2ª persona singular (tú) condicional indicativo,temerías
temer: 3ª persona singular (él/ella/usted) condicional indicativo,temería
temer: 1ª persona plural (nosotros) condicional indicativo,temeríamos
temer: 2ª persona plural (vosotros) condicional indicativo,temeríais
temer: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,temerían
temer: 1ª persona singular (yo) presente subjuntivo,tema
temer: 2ª persona singular (tú) presente subjuntivo,temas
temer: 3ª persona singular (él/ella/usted) presente subjuntivo,tema
temer: 1ª persona plural (nosotros) presente subjuntivo,temamos
temer: 2ª persona plural (vosotros) presente subjuntivo,temáis
temer: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,teman
