question,answer
tener: 1ª persona singular (yo) presente indicativo,tengo
tener: 2ª persona singular (tú) presente indicativo,tienes
tener: 3ª persona singular (él/ella/usted) presente indicativo,tiene
tener: 1ª persona plural (nosotros) presente indicativo,tenemos
tener: 2ª persona plural (vosotros) presente indicativo,tenéis
tener: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,tienen
tener: 1ª persona singular (yo) imperfecto indicativo,tenía
tener: 2ª persona singular (tú) imperfecto indicativo,tenías
tener: 3ª persona singular (él/ella/usted) imperfecto indicativo,tenía
tener: 1ª persona plural (nosotros) imperfecto indicativo,teníamos
tener: 2ª persona plural (vosotros) imperfecto indicativo,teníais
tener: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,tenían
tener: 1ª persona singular (yo) pretérito indicativo,tuve
tener: 2ª persona singular (tú) pretérito indicativo,tuviste
tener: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,tuvo
tener: 1ª persona plural (nosotros) pretérito indicativo,tuvimos
tener: 2ª persona plural (vosotros) pretérito indicativo,tuvisteis
tener: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,tuvieron
tener: 1ª persona singular (yo) condicional indicativo,tendría
tener: 2ª persona singular (tú) condicional indicativo,tendrías
tener: 3ª persona singular (él/ella/usted) condicional indicativo,tendría
tener: 1ª persona plural (nosotros) condicional indicativo,tendríamos
tener: 2ª persona plural (vosotros) condicional indicativo,tendríais
tener: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,tendrían
tener: 1ª persona singular (yo) presente subjuntivo,tenga
tener: 2ª persona singular (tú) presente subjuntivo,tengas
tener: 3ª persona singular (él/ella/usted) presente subjuntivo,tenga
tener: 1ª persona plural (nosotros) presente subjuntivo,tengamos
tener: 2ª persona plural (vosotros) presente subjuntivo,tengáis
tener: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,tengan
